Column A,Column B,Column C
Menu Item,DD WEB ID,SmallBox DD WEB ID
1 Piece of Chicken,32922,same
6 Pieces of Chicken,32923,same
21 Pieces of Chicken,32924,same
Original Crispy Fillet Piece,32929,same
3 Pieces Hot & Crispy™,32930,same
"6 Pieces Hot & Crispy™ ",32931,same
"3 Pieces Combo Hot & Crispy™ ",32960,same
"6 Pieces Combo Hot & Crispy™ ",32961,same
Zinger® Burger Box Hot & Crispy™,32966,33017
"Zinger Stacker® Burger Box Hot & Crispy™ ",32967,33018
"Zinger® Crunch Burger™ Box Hot & Crispy™ ",32968,33019
Original Crunch Twister® Box,32969,33020
Zinger® Crunch Twister® Box,32970,33021
Original Crispy Burger Box,32971,33011
Original Crispy Bacon & Cheese Burger Box,32972,33012
Original Crispy BBQ Bacon Stacker® Burger Box,32973,33013
"Zinger® Bacon & Cheese Burger Box Hot & Crispy™ ",32974,33022
3 Piece Box,32975,33014
Original Tenders™ Box,32976,33015
Favourites Box,32977,33016
Family Feast,32978,n/a
Delivery Feast,32980,33211
Burger Feast,32981,33210
Value Feast,32982,33009
21 Pieces of Chicken - SA/WA,33001,same
Giant Feast,33104,n/a
NEW Mega Chicken Box,33105,33212
NEW Mega Burger Feast,33206,same
Giant Feast - SA/WA,33208,n/a
3 Pieces of Chicken,33214,same
3 Piece Combo,33215,same
My Bucket,33238,same
Family Feast,n/a,33006
Giant Feast - SB,n/a,33207
Giant Feast - SB SA,n/a,33209
Double Tender™ Burger Box,n/a,33213
Zinger® Burger,32879,same
Zinger® Burger Combo,32880,same
Double Tender™ Burger,32886,same
Zinger® Bacon & Cheese Burger,32887,same
Zinger® Crunch Burger™,32888,same
Original Crispy Burger,32889,same
Original Crispy Bacon & Cheese Burger,32890,same
Original Crispy BBQ Bacon Stacker® Burger,32891,same
Zinger Stacker® Burger,32892,same
3 Wicked Wings®,32925,same
6 Wicked Wings®,32926,same
10 Wicked Wings®,32927,same
Zinger® Fillet Piece,32928,same
3 Original Tenders™,32932,same
5 Original Tenders™,32933,same
6 Nuggets,32934,same
10 Nuggets,32935,same
Regular Popcorn Chicken®,32936,same
Maxi Popcorn Chicken®,32937,same
Snack Popcorn Chicken®,32938,same
Double Tender™ Burger Combo,32939,same
Zinger Stacker® Burger Combo,32940,same
Original Crispy Burger Combo,32941,same
Original Crispy Bacon & Cheese Burger Combo,32943,same
Original Crispy BBQ Bacon Stacker® Burger Combo,32944,same
Zinger® Bacon & Cheese Burger Combo,32945,same
Regular Popcorn Chicken® Combo,32954,same
Maxi Popcorn Chicken® Combo,32955,same
6 Wicked Wings® Combo,32956,same
Snack Popcorn Chicken® Combo,32957,same
10 Wicked Wings® Combo,32958,same
3 Wicked Wings® Combo,32959,same
6 Nugget Combo,32962,same
10 Nugget Combo,32963,same
3 Original Tenders™ Combo,32964,same
5 Original Tenders™ Combo,32965,same
Original Pepper Mayo Slider,32897,same
Original BBQ Slider,32898,same
Original Crunch Twister® ,32899,same
Zinger® Crunch Twister®  ,32900,same
"Original Supercharged Slider ",32901,same
Regular Chips,32902,same
Large Chips,32903,same
Regular Potato & Gravy,32904,n/a
Large Potato & Gravy,32905,n/a
Regular Coleslaw,32906,same
Large Coleslaw,32907,n/a
Regular Gravy,32908,same
Crunchy Jalapeno Slaw,32909,same
Dinner Roll,32910,same
Double Chocolate Mousse,32911,same
Original Tenders™ Crunch Bowl,32912,same
Zinger® Crunch Bowl,32913,same
Go Bucket® 2 Wicked Wings®,32914,same
Go Bucket® 1 Original Tender™,32915,same
Go Bucket® Popcorn Chicken®,32916,same
Go Bucket® 3 Nuggets,32917,same
"Zinger® Crunch Burger™ Combo ",32942,same
Original Crunch Twister® Combo,32946,same
"Zinger® Crunch Twister® Combo ",32947,same
Zinger® Crunch Bowl Combo,32948,same
Original Tenders™ Crunch Bowl Combo,32949,same
Kids Meal with BBQ Slider,32950,same
Kids Meal with Nuggets,32951,same
Kids Meal with Snack Popcorn Chicken®,32952,same
Go Bucket® Hot & Crispy™,33216,same
4 Dipping Sauces,33218,same
BBQ Dip,43819,same
Supercharged Dip,43820,same
Aioli Dip,43823,same
Jalapeno Mayo Dip,44003,same
Large Coleslaw(4x110g),n/a,33217
Sweet & Sour Dip,43822,same
Sweet Chilli Dip,43821,same
Tomato Dip,43810,same
Regular Pepsi Max^,43829,same
Large Pepsi Max^,43830,43848
1.25L Pepsi Max^,43831,n/a
Regular Pepsi^,43811,43849
LargePepsi^,43827,43850
1.25L Pepsi^,43828,n/a
Regular 7Up,43832,n/a
Large 7Up,43833,n/a
1.25L 7Up,43834,n/a
Regular Mountain Dew,43835,43851
Large Mountain Dew,43836,43852
1.25L Mountain Dew,43837,n/a
Regular Solo,43838,43853
Large Solo,43839,43854
1.25L Solo,43840,n/a
Regular Sunkist No Sugar,43841,n/a
Large Sunkist No Sugar,43842,n/a
1.25L Sunkist No Sugar,43843,n/a
Regular Sunkist,43845,n/a
Large Sunkist,43846,n/a
Bottled Water,33219,same
Sparkling Water,33220,same
Apple Juice,33221,n/a
Lipton Peach Ice Tea,33222,n/a
Iced Mocha Koffee Krunch,33231,n/a
Iced Caramel Koffee Krunch,33232,n/a
Iced Latte,33225,n/a
Watermelon Boba Refresher~,33226,n/a
Cherry Boba Refresher~,33227,n/a
Chocolate Krunch Shake,33229,n/a
Caramel Krunch Shake,33228,n/a
Coconut Mango Krunch Shake,33230,n/a
Sparkling Raspberry Lemonade~,33224,n/a
Spicy Mango Lemonade~,33223,n/a
