Scenario,Restaurant,Entity,ProductID,Entity Found,Submit Status,MissingChannels
Periodic 01,All,Product,33489,YES,Success,
Periodic 01,All,Product," 33491",YES,Success,
Periodic 01,All,Product," 33498",YES,Success,
Periodic 01,All,Product," 33499",YES,Success,
Periodic 01,All,Product," 33500",YES,Success,
Periodic 01,All,Product," 33501",YES,Success,
Periodic 01,All,Product," 33503",YES,Success,
Periodic 01,All,Product," 33505",YES,Success,
Periodic 01,All,Product," 33495",YES,Success,
Periodic 01,All,Product," 33496",YES,Success,
Periodic 01,All,Product," 33502",YES,Success,
Periodic 01,All,Product," 33504",YES,Success,
Periodic 01,All,Product," 33493",YES,Success,
Periodic 01,All,Product," 33494",YES,Success,
Periodic 01,All,Product," 33497",YES,Success,
Periodic 01,All,Product," 33487",YES,Success,
Periodic 01,All,Product," 33488",YES,Success,
Periodic 02,All,Item,33489,YES,,
Periodic 02,All,Item," 33491",YES,,
Periodic 02,All,Item," 33498",YES,,
Periodic 02,All,Item," 33499",YES,,
Periodic 02,All,Item," 33500",NO,,
Periodic 02,All,Item,,,FAILED. Error at Row No:1 Sheet Active Period,"Store, Channel, or Service might be missing"
Periodic 03,All,Product,,,FAILED. Error at Row No:2 Sheet Active Period,"Store, Channel, or Service might be missing"
Periodic 04,All,Item,,,FAILED. Error at Row No:3 Sheet Active Period,"Store, Channel, or Service might be missing"
Periodic 05,All,Product,,,FAILED. Error at Row No:4 Sheet Active Period,"Store, Channel, or Service might be missing"
Periodic 06,All,Item,33162,YES,Success,
Periodic 07,All,Product,33151,YES,Success,
Periodic 08,All,Item,33151,YES,Success,
Periodic 09,All,Product,33381,YES,Success,
Periodic 10,All,Item,33381,YES,Success,
Periodic 11,All,Category,20056,YES,Success,
Periodic 12,All,Product,33454,YES,Success,
Periodic 12,All,Product," 33455",YES,Success,
Periodic 12,All,Product," 33456",YES,Success,
Periodic 12,All,Product," 33457",YES,Success,
Periodic 13,All,Item,33454,YES,Success,
Periodic 13,All,Item," 33455",YES,Success,
Periodic 13,All,Item," 33456",YES,Success,
Periodic 13,All,Item," 33457",YES,Success,
Periodic 14,All,Product,33510,YES,Success,
Periodic 14,All,Product," 33509",YES,Success,
Periodic 15,All,Item,33510,YES,Success,
Periodic 15,All,Item," 33509",YES,Success,
Periodic 16,All,Product,33510,YES,Success,
Periodic 17,All,Item,33510,YES,Success,
Periodic 18,All,Product,33509,YES,Success,
Periodic 19,All,Item,33509,YES,Success,
